BUNNumber,SiteName
3500780,Abels Hill
3500866,Carrick - Agfest
3500779,Dicks Bank
3500836,Mt Blackwood TAS
3500828,Avoca TAS
3500811,APSLAWN
3000270,Doncaster East
3000287,Doncaster
3000311,Rosanna
3501137,Eurobin
3501178,Dartmoor
3500076,Carrickalinga
3501058,Mt Big Ben - Vodafone
3500163,Port Victoria
3502733,ELEPHANT PASS ROAD
3400428,Laurel Vale
3500615,Elphinstone
3500703,Alligator Creek
3500388,Boggabilla
3502226,Gravesend
3400126,Foster North
3500642,DIAMOND CREEK QLD
3500054,Warooka
3000034,Waikerie
3500694,Fernvale
3400542,Foster North
3500262,Gayndah
3200512,Kadina VF
3502734,SEYMOUR_TAS
3502743,CHAIN OF LAGOONS
3400069,Warooka (Agile)
3200550,Lady Bay VF
3500159,Delamere
3500212,Clarendon township
3400073,Tintinara (Agile)
3500110,PARAWA
3500187,PORT CLINTON
3500953,Wangaratta Hospital
3501047,Wangaratta South
3251541,Glenhope
3000027,Kadina
3000735,Minlaton
3200513,Moonta VF
3400148,Mt Stradbroke 2
3251650,Greysholm
3400470,Coondle
3000169,Mt Marshall
3000172,Stanthorpe
3200491,Mt Braeside VF
3200494,Cottonvale VF
3502577,Ballidu
3200647,Wundowie VF
3500264,Warwick CBD
3500613,Pratten
3500616,Killarney
3200648,Northam VF
3501599,Northam Central
3502032,Glenn Innes Central
3501655,TOODYAY NTH
3502448,NORTH KELLERBERRIN
3502481,MOLLERIN
3000171,Warwick
3500173,Glenroy
3502012,Darawank
3500233,Dululu
3500397,EDUNGALBA
3000422,Mt Toolebewong
3501927,Kootingal
3501370,Nyah West
3501431,Sandhurst
3502182,Calga
3502241,Lue
3000066,Edithburgh
3000028,Yumali
3000029,Culburra
3500003,Mt Gambier North
3500010,Naracoorte CBD
3500059,Nangwarry
3000065,Stansbury
3500039,Darlington
3000156,Ballina
3000350,Hastings
3200017,Mt Pleasant VF
3200144,Ballina VF
3200161,Alstonville VF
3200213,Hastings VF
3200216,Tecoma VF
3501684,Geraldton Airport
3200627,Two Rocks VF
3200143,Grafton VF
3500739,Teven
3501262,Kerang East
3501007,Westmere
3501015,Cohuna
3503256,Donald 2
3501581,Jurien
3501616,Green head
3501617,Cataby
3501618,Moora
3501620,Eneabba
3501622,Mullewa
3501623,Greenough
3501624,Warradarge
3501651,WANNAMAL
3501659,Webberton
3501665,Dandaragan
3501681,New Norcia
3502030,Orange East
3502164,Mogriguy
3502236,Lismore Industrial
3502245,Nymboida
3502246,Billys Creek
3502294,Lismore Uni
3502477,BADGINGARRA EAST
3502479,ELLENDALE SOUTH
3501594,Wonthella
3500860,Kingsmeadow shopping mall
3000146,Underwood
3500390,High Hill
3000015,Angaston
3000022,Clare
3500100,Clare NW
3501529,Collie Power Station
3500855,Devonport North
3000402,Swan Reach
3000510,Beaufort River
3200149,Singleton VF
3200603,Collie VF
3400094,Bornholm
3400099,Mt Warrnambool
3400127,Granite Rock
3400308,Jacup
3400567,Clare
3400582,Mount Raymond
3400597,Yarrahapinni 54m
3500013,Black Springs
3500153,Clare CBD
3500164,Saddleworth
3502017,Herons Creek
3500735,Bowraville
3502176,Kew NSW
3500952,Kialla East
3501088,Shepparton North
3501140,Kialla
3501147,Nagambie
3501148,Kialla West
3501186,Darnum
3501260,Fort King
3501274,Noorinbee North
3501275,Barnsdale East
3501276,Wy Yung
3501277,Barnsdale South
3501625,Lower King
3501430,Warragul West
3501455,Long Gully
3501576,Kojonup North
3501606,BEDFORD HARBOUR
3501612,Hopetoun WA
3501613,Bremer Bay
3501626,Darkan
3501661,Griffin Coal
3501667,Wandering
3000586,Mt Yarrahapinni
3501998,Port Macquarie Oxley Hwy
3000656,Nambucca Heads
3502020,Port Macquarie Settlement City
3502069,YARRABANDINNI
3502098,MOUNT SEAVIEW
3502138,Hibbord
3502173,Cairncross
3502174,Rainbow Flat
3502177,Clybucca
3502192,Telarah
3501597,Pink Lake (Chadwick)
3502224,Trundle
3502250,Hickeys Creek
3502261,Hat Head
3502314,Emerald Downs
3502329,Oxley Hwy
3502371,Lake Cathie
3502397,Bairnsdale Dargo Rd
3502426,Parkes Logistic Hub 1
3502468,Maitland Showground
3502561,GILLIESTON
3502741,LAKE TOWERRINNING
3502742,MEEKING
3502843,Shepparton City North
3000414,Port Fairy
3250476,Rocky Mountain
3500085,Tanunda CBD North
3502025,Valla Beach Town
3000587,Buckombil
3000588,Maclean
3200158,Woodburn VF
3200159,Maclean VF
3200160,Broadwater
3251455,Telegraph Point (Solar)
3400558,Banyabba 12.9m
3400559,Banyabba 30m
3400560,Banyabba 42m
3502257,Iluka
3502058,Woodburn South
3502059,Evans Head Town Nth
3502562,Doonbah
3500469,Southside
3200461,Sarina VF
3502407,Moe North
3400367,Gunalda
3500389,Kingfisher Bay
3400369,Long Flat North
3250921,Mermaid Beach
3500463,North Monkland
3400538,Reedy Creek
3000086,Robina
3500647,Rolleston Township
3500718,Rollestone Mine
3500603,Stephens
3500401,Theodore
3400366,Widgee
3502449,CADIA SOUTH EAST
3000229,Glen Geddes
3000228,Marlborough
3500294,Ballina CBD
3500909,Swan Hill East
3501011,Glenthompson
3501355,Pyramid Hill
3501014,Mystic Park
3500269,Capella
3502009,Bathurst Central West
3400106,The Bluff
3400556,Mount Tassie 53m
3500189,HAMLEY BRIDGE
3500754,East Side
3000234,Alice Springs
3502629,Colebee
3502632,Heddon Greta
3501171,Dunkeld
3000175,Murgon
3000281,Tecoma
3000284,Somerville
3000555,Curtis
3000556,Bywong Hill
3000558,Mt Lambie
3000621,Riverstone
3000672,Mt Rogers
3000771,Cundumbal
3200015,Quakers Hill VF
3200110,Mt Victoria 2 VF
3200120,Prospect (NSW) VF
3200127,Wallsend VF
3200138,Kurri-Kurri VF
3200183,Enchanted Hill VF
3200190,Annangrove VF
3400096,Mt Hamilton
3400585,Rifle Range Road
3400832,Rouse Hill  ALT
3400833,Riverstone ALT
3000409,Great Western
3500392,HARLIN
3500489,Benarkin
3500607,Esk Town
3500640,Proston East
3500641,KILKIVAN
3500767,Lake Bennett
3501019,Stuart Mill
3501395,Lake Boga
3501181,Ardno
3501184,Carapook
3501206,Koondrook
3501371,Boort
3501372,Quambatook
3501415,Navarre
3501419,Watchem
3501531,Cervantes
3501615,Leeman
3501828,Fadden
3501906,Manar North
3501986,Watertrough Hill
3502001,Dubbo East
3502015,Lithgow Hospital and Bowenfels
3502024,Millfield
3502034,Casino North
3502044,Edgeworth South
3502056,Oberon O Connell Rd
3502068,Bungendore West
3502080,Harwell Place
3502109,JOHNS PLACE
3502148,Mulbring
3502155,Londonderry South
3502166,Wongarbon
3502184,Cessnock West
3502185,Fennell Bay
3502210,Wallerawang
3502216,Nth Casino/Bentley
3502256,Molong
3502309,Googong
3502321,Dubbo West
3502349,Gwandalan
3502357,Gundaroo
3502484,LAGUNA
3502587,Goorooyorroo
3502634,Morisset East
3502730,CUDGEGONG STATION
3502782,Riverstone West Conurbation
3502791,South Penrith
3503167,Emu Plains Rail Station
3502689,Wellard North
3400051,Mt Pleasant (Agile)
3500689,Texas
3251652,Yelarbon
3502239,Armidale Uni
3502128,Lucas Heights West
3502267,Armidale West
3502061,Gol Gol
3501188,Kilmany
3200069,Terrey Hills VF
3502206,Binnaway
3502225,Baradine
3200358,Underwood VF
3400541,Gosford 2GO
3501775,Niagara Park
3502081,BUTTONDERRY ROAD
3502082,PACIFIC HIGHWAY 6
3502736,KANCOONA
3200096,Toukley VF
3502083,PACIFIC MOTORWAY 1
3501358,Harrow
3501359,Apsley
3501375,Hotspur
3501406,Ensay
3501418,Tambo Crossing
3501424,Mt Hotham Airport
3501446,Morkalla North
3500876,East Burwood
3501407,Glenorchy
3500295,Broadbeach Shops
3400312,Bouldercombe
3200167,Murrambateman VF
3500393,Gunters Hill
3501363,Mount Clear
3501921,Young North
3502004,Young Central
3502288,Galong
3501782,Bathurst Commercial West
3502005,Orange Woodward Street
3502039,Warrandine
3502291,Greenethorpe
3502421,Lucas
3501985,Wandandian
3502016,Manyana
3500650,Keppel Sands
3502814,MONARTO SOUTH
3502072,BOUNDARY RD MITCHELL
3502581,Yello Creek Rd - Yass
3501261,Boorool
3000233,Mt Domville
3500554,Amamoor
3500656,Bingham
3500471,Booral
3500370,Emu Mt
3500442,Federation Park Maryborough
3200389,GIlldora VF
3200470,Howard VF
3500714,Imbil
3500674,Noosaville Central
3500644,Poona
3400368,Tinana West
3500575,Torbanlea Township
3200469,Torbanlea VF
3500470,Wondunna
3500325,Bokarina
3501874,Woodbine
3501943,Kearns
3502084,PACIFIC MOTORWAY
3502750,Leppington Conurbation
3502060,Buronga
3502067,Moss Vale South
3400451,Walligan
3300281,Terrey Hills
3251542,Jeraly Hill (Rookery)
3251543,Yonga
3251547,Mallee Cliffs
3400052,North Marion Bay (Agile)
3400075,Coonalpyn (Agile)
3400056,Stansbury (Agile)
3400071,Tailem Bend (Agile)
3500105,COOKE PLAINS
3500560,Mooloolah Valley
3000109,Caboolture
3400608,Trentham Cliffs
3400089,Lameroo  (Agile)
3000325,Moe Hill
3000362,Mildura
3400851,Murray Bridge West
3500561,Glass House Mt Village
3000583,Glen Innes
3500589,Currimundi West
3000539,Pendle Hill
3251448,Newell Hwy 3
3000703,Foster North
3000651,Unanderra
3000293,Mount Eliza
3500300,Pacific Harbour
3500369,Dakabin East
3500481,Beerwah Township
3500534,Ningi East
3500559,Dakabin Industrial
3500580,Bellmere Nth
3500584,Oakey Flats
3500588,Sandstone Point Sth
3500675,Kallangur South
3500950,Mildura South West
3500954,Traralgon North
3501043,Mildura North
3501044,Moe East
3501102,Newborough
3501103,Churchill Town
3501105,Traralgon South
3501129,Alberton
3501130,Mt Hoddle
3200287,Fairfield VF
3000264,Dandenong
3501200,Venus Bay
3501282,Cardross
3000451,Hampton Park West
3000304,Dandenong North
3200056,Seven Hills VF
3000397,Dandenong South
3501451,Rawson
3000437,Tyabb
3501468,Morwell East
3252059,Dandenong South
3501934,Moree Plains
3400130,Yallourn North
3200122,Wentworthville VF
3502380,Burpengary Rail
3200239,Seaford VF
3501361,Mildura Airport
3300184,Seven Hills
3502851,Traralgon West
3503018,Newborough Central
3000068,Capalaba
3000120,Toowoomba
3000126,Samford
3000132,Eight Mile Plains
3000184,Deagon
3400910,KANAHOOKA
3000214,Bannockburn
3000217,Bridgeman Downs
3502642,Narangba Rail
3501150,Mernda
3501151,Mt Caroline
3000187,Burbank
3501293,TALLAROOK NORTH
3501329,Baxter
3501438,Doreen South
3500600,Maryborough South
3000276,Hallam
3000286,Mooroolbark
3000290,Research
3501459,Frankston Central
3501486,Lynbrook
3502455,Somerville Central
3502663,Mernda Central 2
3000273,Mornington
3000334,Croydon
3000253,Heidelberg
3000424,Kilsyth
3000254,KEW
3000274,Mt Martha
3000337,Surrey Hills
3000410,Ringwood North
3000373,Richmond North
3000425,Wandin
3000435,Olinda East
3000307,Waverley North
3000463,South Perth
3000478,Balcatta
3000464,Oconnor
3000467,Riverton
3000490,Mindarie
3000468,Morley
3000309,Bundoora
3000483,North Perth
3000499,Como
3000591,Bendemeer
3000699,Duri CEV
3000500,Mt Lawley
3000501,Mount Street
3000579,Coffs Harbour
3000722,Mt Ommaney North
3000731,Beckenham
3200009,Holt VF
3000734,West Swan
3000763,Orange Grove
3000776,Somerton
3200222,Croydon North VF
3000387,Balwyn
3200227,Endeavour Hills VF
3000374,Thornbury
3200241,Kilsyth East VF
3200262,Bayswater VF
3501053,Sale West
3000382,Blackburn
3000388,Ivanhoe
3200283,Ringwood VF
3200294,Yarra Glen VF
3000436,Somerton
3000455,Kingsbury East
3000441,Reservoir West
3200311,Wheelers Hill VF
3200372,Mount Tamborine VF
3200410,Belmont VF
3200456,Pinjarra Hills VF
3500075,Angaston North
3400088,Loxton  (Agile)
3000012,McLaren Vale
3000019,Yatala Vale
3200436,Aspley VF
3200501,Mannum VF
3200443,Arana Hills VF
3200450,Eight Mile Plains VF
3000020,Murray Bridge 2 (CEV)
3200598,Melville VF
3200599,Ocean Reef VF
3200613,Bentley VF
3200614,Victoria Park VF
3200624,Myaree VF
3200626,Edgewater VF
3200653,Ellenbrook VF
3200639,Malaga VF
3250603,Montrose
3250663,Diamond Creek
3000482,Kelmscott
3200223,Bundoora VF
3200238,North Canterbury VF
3200263,Mornington VF
3200280,Heidleberg Heights VF
3252204,Belmont Park
3400018,Winton
3200327,Kilmore VF
3300120,Mountain Gate
3400007,Osborne Park Main Street
3200528,Willunga VF
3200531,Port Elliot VF
3200535,Angaston VF
3200545,Mt Barker West VF
3200552,Goolwa VF
3400565,Bruxner Park (TV)
3400047,Edithburgh (Agile)
3400870,Hilton Alt
3400892,Chirnside North
3400908,Henley Brook
3200304,Mill Park VF
3200308,Doncaster East VF
3400503,West Lakes
3400850,Mt Barker South
3500021,One Tree Hill
3500090,Gawler Central
3500171,Roseworthy
3500231,Karana Downs
3251510,Murray Bend
3500311,Proserpine North
3400050,Coonarie Hill (Agile)
3500329,Mt Gravatt
3500358,Ashmore and Nerang
3500366,Bray Park
3500405,Mingela
3500408,Mt Samson
3500426,Hay Point
3500428,Jacobs Well
3500458,Dalby South
3500459,Homestead
3500467,Rural View
3500468,Slade Point Nth
3500508,CARSELDINE STATION
3500512,MACKAY MARINA
3501388,Romsey Central
3501434,Pakenham East
3252105,Kew Golf Club
3501437,Greenvale Reservoir
3200644,Banjup VF
3200651,Port Kennedy VF
3200654,Naval Base VF
3300050,Fairfield
3400122,Two wells (ABB)
3401210,Lalor Rail
3501541,Karragullen
3501548,Mirrabooka
3400373,Waitpinga
3401215,Roxburgh Park East -V
3501139,Pheasant Creek
3501435,Craigieburn North Central-O
3501583,North Ellenbrook2
3501591,Maddington South
3501608,GREENWOOD EAST
3501654,South Chittering
3501670,Butler
3501678,Morley West
3501682,Neaves Rd West
3501696,Lesmurdie Falls
3501703,Butler North
3501712,Malaga West
3501717,West Swan South
3501785,Calala (Tamworth)
3501875,Crace
3501994,Armidale North Hill
3502002,Inverell Central
3501161,Carwap
3502219,Tingha
3502221,Delungra
3502243,Ashford
3502266,Nundle
3502285,Coutts Crossing
3502287,Elsmore
3502293,Invergowrie
3502303,Wollomombi
3501439,Langwarrin North
3502501,Ormeau Hills
3502566,Gembrook South
3502591,LYSTERFIELD WEST 2
3500328,Carina
3501443,Frankston North East
3501511,Bullcreek
3501553,Labouchere Rd
3502612,Brendale East
3000085,Molendinar
3501474,Wallan Township
3500172,Lewiston
3500190,FREELING
3500403,Moranbah East
3500482,Mt Cotton East
3500605,Redland Bay East-O
3500614,Glenden
3500623,Rockville
3500626,Slade Point
3500629,Seaforth
3500646,Conway
3500653,Dingo Beach
3500660,Cannonvale
3500682,Strathpine CBD
3500699,Walkerstone
3500700,Sarina South
3500701,Mirani
3500728,Kingsthorpe
3500729,Wyreema & Cambooya
3500730,Lilyvale
3500731,Helidon Central
3500894,Beaufort
3501489,Mernda North
3501515,Mandurah East
3500946,Pakenham Racecourse Tynong
3500957,The Basin
3501555,Mundijong
3500969,Wantirna North
3501029,Beaufort Central
3501559,Greenfields
3501569,Bouvard
3502422,Delacombe North
3502617,Canadian
3501132,Dixons Creek
3501133,Buxton
3501135,Yeringberg
3501136,Healesville
3000283,Montmorency
3200281,Tooronga VF
3500945,Newington
3500965,Lalor West
3501167,Halls Gap
3501189,Macclesfield
3501192,Gembrook
3501199,Pakenham Upper
3501064,Preston East
3501070,Fawkner Cemetry
3501246,Badger Creek - O
3501279,Silvan
3501280,Emerald North
3501281,Guys Hill
3501072,Kensington East
3501116,Langwarrin East
3501314,ARARAT TOWNSHIP
3501142,Dysart Siding
3501332,Pakenham Central East
3501348,Wonga Park North -O
3501562,Mariginup
3501602,BUTCHER ROAD
3501149,Kilmore
3501657,Upper Swan
3501152,Craigieburn North
3500191,HANDORF SOUTH
3501153,Yan Yean
3500654,Rode Shopping Centre
3502640,TILLYROEN ROAD
3501235,Osborne
3501245,Forest Hill-GF
3502684,Ballajura North
3502623,GLENDALOUGH SOUTH
3502722,VIVEASH
3502773,Mirrabooka North
3401203,Bulleen Alt
3502878,Kelmscott South
3502880,Beenleigh Line
3501285,Heidleberg West Central
3502718,Cannington Central
3500205,Kapunda Township
3500222,Blakeview
3200548,Mt Barker East VF
3500175,Alford
3500309,Clermont South
3501193,Yelta
3503263,Angle Vale East
3502852,Byford West
3000033,Penola
3500064,Lucindale
3502931,Centenary Heights Central
3502936,Gordon Pk Nth
3000107,Loganlea
3000112,Buderim
3251673,Henry Creek
3000181,Beerburum
3000124,Hope Island
3501217,Stradbroke
3000130,Bundall
3000105,Hillcrest
3000133,Tanah Merah
3000135,Arundel
3000145,Yeppoon
3000170,Kalbar
3000183,Merrimac
3000205,Logan Village
3000157,Lismore CEV
3000207,Munruben
3501221,Underbool
3000118,Mt Stuart
3000291,Brighton (Vic)
3000131,Surfers South
3000327,Sale
3501295,WALLAN STATION
3000517,Collaroy
3501977,Blackbutt
3000282,Hawthorn
3501222,Murrayville
3000303,Bentleigh East
3000364,Kyeamba
3000625,Ingleside
3000371,Balaclava
3000396,Croydon South
3502191,Springhill - Wollongong
3000457,Whitten Oval
3000529,Peakhurst
3000542,Wetherill Park
3000438,Seville South
3000544,Padstow
3501227,Merbein
3200030,Warriewood VF
3000623,Quakers Hill
3200026,North Rocks VF
3000607,Smithfield (NSW)
3000616,Jamisontown
3200038,Smithfield VF
3200043,Macquarie Fields VF
3000624,Oxford Falls
3000655,Bungendore
3000659,Lemon Tree Passage
3000768,Alfred Town
3000778,Mt Walker
3200171,Burngoogee VF
3200212,Anglesea VF
3200145,Lismore VF
3200072,Peakhurst VF
3200119,Chullora VF
3200224,Collingwood VF
3200275,Fitzroy North VF
3200394,Glass House Mountain VF
3200468,Tiaro VF
3200310,Bentleigh East VF
3500176,Clay Wells
3200369,Runaway Bay VF
3200373,Sanctuary Cove VF
3501263,Robinvale Irrigation District
3251516,Newell Hwy 5
3501278,Sale North
3501351,Maffra Central
3200401,Labrador VF
3501377,Seaspray
3501394,Robinvale Central
3501447,Cullulleraine
3200229,Brighton (Vic) VF
3200230,Hampton VF
3200288,Bentleigh VF
3200447,Shailer Park VF
3200485,Kinduro VF
3501448,Mallee Cliffs
3200192,Bidwill VF
3501449,Pirlta North
3502435,ROBE TOWNSHIP
3000001,Glynde
3000010,Gawler South
3000050,Clarendon
3501499,Longford South East
3501846,Wakehurst Parkway
3200500,Kersbrook VF
3300318,Oatlands
3502008,Gunnedah CBD
3251665,Cunninghams Gap East
3200404,Gaven VF
3300158,Jan Juc
3300162,Hoppers Crossing 2
3300268,Castlereagh
3501322,Beveridge 2
3501903,Castle Hill East
3200425,Heathwood VF
3400156,Tregeagle
3200426,Redbank VF
3400170,Isaacs
3400171,Oak Hill
3501604,LAKES ROAD
3400235,Kin Kin
3300131,Keysborough
3400261,Mermaid Waters 1
3502204,Barraba
3200668,Smithfield West VF
3400356,Fernleigh
3502205,Bingara
3400531,Port Kembla
3400537,Habana North
3502229,Burren Junction
3400835,Wolffdene ALT
3502281,Baan Baa
3400121,Malalla
3502295,Pilliga
3502120,Berala
3500192,Murray Bridge CBD
3401206,Gawler Showgrounds
3500004,Mt Torrens
3502606,Palmwoods
3502636,South Cryon
3500041,Wingfield
3500046,Hope Valley West
3500063,Nuriootpa CBD
3500078,Nuriootpa Township
3502046,Eastern Creek M7
3503266,Enterprise Drive
3500080,Port Lincoln South
3500081,Port Parham
3500094,Lewiston West
3500132,Cowell
3500133,Arno Bay
3500135,Port Neil
3500161,Wild Horse Plains
3501380,Letts Beach
3500170,INglewood
3500289,Frenchville
3500319,Yandina
3500338,Daisy Hill
3500353,Harbourtown
3500383,Bromelton
3500399,Mt Morgan
3500931,Robinvale
3500421,Kunda Park
3500495,EBENEZER_QLD
3500496,GATEWAY MOTORWAY
3500501,BANKSIA CRESENT
3500504,BEENLEIGH CENTRAL
3502097,M2 NORTH CARLINGFORD
3500521,Horizon Shores
3500527,Carrara Sth
3500528,Cedar Grove
3500529,Yatala Industrial
3501207,Loch Sport
3400321,East Richmond
3500556,Peak Crossing
3500579,Beaudesert CBD
3500710,Bargara
3500657,Boyne Island Relocate
3500581,Loganholme West
3500709,Branyan
3500620,Bundy East
3502904,Woodpark East
3500695,Rosewood
3500705,Oak Valley
3500648,Burrum Heads
3500706,Alice River
3500651,Elliot Heads
3503170,Kalkie West
3500928,Albert Park Lake
3501092,Coode Island
3500643,Buxton
3251519,Newell Hwy 7
3500257,Benaraby
3200472,Bingera VF
3501173,Coleraine
3501125,Lilydale
3501268,Bright West
3000188,Forest Glen
3501046,Sale RAAF
3502424,Ashfield South
3501190,Woori Yallock
3200067,Beacon Hill VF
3501191,Yarra Junction
3200178,Jerrawangala VF
3251522,Newell Hwy 10
3500632,Underwood South
3000345,Mt Beauty
3501718,Yangebup East
3502616,Bundoora RMIT 2
3400005,Ashville Hill
3500649,EAST ILBILBIE
3400464,Moolyung
3251524,Balladoran
3501292,YARRAMAN STATION
3501326,Kensington South
3501338,Lyndhurst Station
3501344,HOPPERS CROSSING EAST-O
3400003,Mt Stanley
3500005,Goolwa
3500040,Murray Bridge East
3500066,Karoonda
3500069,Talinga
3500188,MALLALA
3500115,MYPOLONGA
3500237,Alexandra Headland
3500461,Kalkie
3500522,Landsborough CBD
3501350,Lilydale East
3500637,Westwood North
3500645,Turkey beach
3500720,Telina-Glen Eden
3501441,VIC Univ-Werribee CampusO
3501476,Williams Landing
3501484,Dandenong South Central
3501157,Wangaratta East
3501485,Hallam South
3500906,Ashburton
3501168,Edenhope
3501175,Pinaster Park
3501744,Alstonville South
3502207,Mendooran
3501182,Wilkin
3502233,Collie NSW
3502284,Cassilis
3502319,Clifton Grove
3501183,Wannon
3502320,Glenroi
3502346,Raglan
3501212,Dederang
3501920,Corlette
3501321,TOOLONDO
3502161,Bargo North
3502013,Bonegilla
3502043,Boat Harbour
3502364,Mittagong Town
3200529,Woodcone Hill VF
3502583,Sussex Inlet Central
3500084,Wallaroo North Beach
3501265,Horsham West
3500009,Port Broughton
3200471,South Gregory VF
3500022,Wallaroo
3200473,West Childers VF
3500425,Woodgate
3501218,Falls Creek Ski Patrol
3000045,Yankalilla
3400348,Exeter
3501518,Katanning
3501566,Corrigin
3502075,THE HOMESTEAD
3502132,Bungendore South
3501627,Cuballing
3501639,Westdale
3501653,Brookton
3502133,Salt Ash
3502252,LIMEKILNS
3502151,Mallabula
3502739,DALE RIVER
3502162,Anna Bay
3502163,Bobs Farm
3502806,DONGOLOCKING NORTH
3502524,Torquay West
3502607,DANDENONG RAIL
3502809,STRATHERNE
3502646,Beaconsfield West
3500207,Greenhill
3502810,WAMENUSKING
3000594,Parkes
3000226,Carmila
3200083,Guildford VF
3400087,White Hill  (Agile)
3500438,Callemondah
3000267,Carrum Downs
3400114,White Hill (ABB)
3000341,Bon Beach
